dataset,horizon,model_combination,split,model_type,metric,value
ETT-small_ETTh1,336,DLinear-DLinear,train,Teacher,mae,2.976613
ETT-small_ETTh1,336,DLinear-DLinear,train,Teacher,mse,14.758182
ETT-small_ETTh1,336,DLinear-DLinear,train,Teacher,mape,4230267.000000
ETT-small_ETTh1,336,DLinear-DLinear,train,Teacher,wape,17.845396
ETT-small_ETTh1,336,DLinear-DLinear,val,Teacher,mae,2.047319
ETT-small_ETTh1,336,DLinear-DLinear,val,Teacher,mse,6.790110
ETT-small_ETTh1,336,DLinear-DLinear,val,Teacher,mape,51275136.000000
ETT-small_ETTh1,336,DLinear-DLinear,val,Teacher,wape,36.873047
ETT-small_ETTh1,336,DLinear-DLinear,test,Teacher,mae,2.262905
ETT-small_ETTh1,336,DLinear-DLinear,test,Teacher,mse,8.246933
ETT-small_ETTh1,336,DLinear-DLinear,test,Teacher,mape,15052205.000000
ETT-small_ETTh1,336,DLinear-DLinear,test,Teacher,wape,27.647961
ETT-small_ETTh1,336,DLinear-DLinear,train,Student_TaskOnly,mae,2.976615
ETT-small_ETTh1,336,DLinear-DLinear,train,Student_TaskOnly,mse,14.758182
ETT-small_ETTh1,336,DLinear-DLinear,train,Student_TaskOnly,mape,4230265.500000
ETT-small_ETTh1,336,DLinear-DLinear,train,Student_TaskOnly,wape,17.845407
ETT-small_ETTh1,336,DLinear-DLinear,val,Student_TaskOnly,mae,2.047319
ETT-small_ETTh1,336,DLinear-DLinear,val,Student_TaskOnly,mse,6.790110
ETT-small_ETTh1,336,DLinear-DLinear,val,Student_TaskOnly,mape,51275136.000000
ETT-small_ETTh1,336,DLinear-DLinear,val,Student_TaskOnly,wape,36.873047
ETT-small_ETTh1,336,DLinear-DLinear,test,Student_TaskOnly,mae,2.262905
ETT-small_ETTh1,336,DLinear-DLinear,test,Student_TaskOnly,mse,8.246933
ETT-small_ETTh1,336,DLinear-DLinear,test,Student_TaskOnly,mape,15052205.000000
ETT-small_ETTh1,336,DLinear-DLinear,test,Student_TaskOnly,wape,27.647961
ETT-small_ETTh1,336,DLinear-DLinear,train,Student_RDT,mae,2.974240
ETT-small_ETTh1,336,DLinear-DLinear,train,Student_RDT,mse,14.729980
ETT-small_ETTh1,336,DLinear-DLinear,train,Student_RDT,mape,4240057.500000
ETT-small_ETTh1,336,DLinear-DLinear,train,Student_RDT,wape,17.831165
ETT-small_ETTh1,336,DLinear-DLinear,val,Student_RDT,mae,2.047281
ETT-small_ETTh1,336,DLinear-DLinear,val,Student_RDT,mse,6.794851
ETT-small_ETTh1,336,DLinear-DLinear,val,Student_RDT,mape,51654464.000000
ETT-small_ETTh1,336,DLinear-DLinear,val,Student_RDT,wape,36.872368
